Date,Dataset,BATCH_SIZE,WEIGHT_DECAY,LEARNING_RATE,EPOCH,RESIZE,DEVICE,Accuracy_Image_Name,Loss_Image_Name,Log_File_Name
2021-06-15 00:13:15,/home/megu/CNN_Dataset/MK1_expt.1,16,0.005,0.0001,20,"[224, 224]",cuda,accuracy_image_20210615.png,loss_image_20210615.png,cnn_20210615.log
2021-06-15 01:19:50,/home/megu/CNN_Dataset/ECoG_data_4,16,0.005,0.0001,10,"[224, 224]",cuda,accuracy_image_20210615.png,loss_image_20210615.png,cnn_20210615.log
2021-06-15 02:32:06,/home/megu/CNN_Dataset/MK1_expt.1,16,0.005,0.0001,20,"[224, 224]",cuda,accuracy_image_20210615.png,loss_image_20210615.png,cnn_20210615.log
